tip,date
MT741573.1,1994
MT741574.1,2007
MT741575.1,2007
MT741576.1,2007
MT741577.1,2007
MT741578.1,2007
MT741579.1,2007
MT741580.1,2007
MT741581.1,2007
MT741582.1,2007
MN018194.1,2010-10
MK618764.1,2017-10-26
MK618765.1,2017-10-31
MK618766.1,2017-10-02
MK618767.1,2017-10-15
MK989717.1,2010-04-08
MK989719.1,2010-06-03
MK989722.1,2010-04-30
MH778630.1,2018
MH778631.1,2018
MH778632.1,2018
MH778633.1,2018
MH778634.1,2017
MH778635.1,2017
MF189567.1,2017-01-31
AB901479.1,2000
AB901480.1,2001
AB901481.1,2002
AB901482.1,2002
AB901483.1,2002
AB901484.1,2002
AB901485.1,2002
AB901486.1,2003
AB901487.1,2007
AB901488.1,2007
AB901489.1,2008
AB901490.1,2008
AB901491.1,2010
AB901492.1,2010
AB901493.1,2010
KP122021.1,2014-10-31
KP122022.1,2014-10-31
KP122023.1,2014-10-31
KP122024.1,2014-10-31
KP122025.1,2014-10-31
KP122026.1,2014-10-31
KP122029.1,2014-10-31
KP122031.1,2014-10-31
KP122034.1,2014-10-31
KP122035.1,2014-10-31
KP122036.1,2014-10-31
KP122037.1,2014-10-31
KP122038.1,2014-10-31
KP122040.1,2014-10-31
KP122042.1,2014-10-31
KP122043.1,2014-10-31
KP122044.1,2014-10-31
KP122045.1,2014-10-31
KP122046.1,2014-10-31
KP122047.1,2014-10-31
KP122048.1,2014-10-31
KP122050.1,2014-10-31
KP122051.1,2014-10-31
KP122052.1,2014-10-31
KP122053.1,2014-10-31
KP122054.1,2014-10-31
KP122055.1,2014-10-31
KP122056.1,2014-10-31
KP122058.1,2014-10-31
KP122059.1,2014-10-31
KP122060.1,2014-10-31
KP122062.1,2014-10-31
KP122063.1,2014-10-31
KP122064.1,2014-10-31
KP122065.1,2014-10-31
KP122066.1,2014-10-31
KP122067.1,2014-10-31
KP122068.1,2014-10-31
KP122069.1,2014-10-31
KP122070.1,2014-10-31
KP122072.1,2014-10-31
KP122073.1,2014-10-31
KP122075.1,2014-10-31
KP122077.1,2014-10-31
KP122078.1,2014-10-31
KP122079.1,2014-10-31
KP122080.1,2014-10-31
KP122081.1,2014-10-31
KP122082.1,2014-10-31
KP122083.1,2014-10-31
KP122084.1,2014-10-31
KP122085.1,2014-10-31
KP122086.1,2014-10-31
KP122087.1,2014-10-31
KP122088.1,2014-10-31
KP122089.1,2014-10-31
KP122090.1,2014-10-31
KP137044.1,2014-10-31
KP137045.1,2014-10-31
JQ728980.1,2010
JQ728981.1,2010
JQ728982.1,2010
JQ728983.1,2010
JQ728984.1,2010
JQ728985.1,2010
JQ728986.1,2010
JQ728987.1,2010
JQ728988.1,2010
JQ728989.1,2010
JX417879.1,2008
JN788289.1,2010-09
JN788290.1,2010-09
JN788291.1,2010-09
JN788292.1,2010-09
JN788293.1,2010-09
JN788294.1,2010-09
JN788295.1,2010-09
JN788296.1,2010-09
JN788297.1,2010-09
JN788298.1,2010-09
JN788299.1,2010-09
JN788300.1,2010-09
JN788301.1,2010-09
JN788302.1,2010-09
JN788303.1,2010-09
JN788304.1,2010-09
JN788305.1,2010-09
JN788306.1,2010-09
JN788307.1,2010-09
JN788308.1,2010-09
JF742580.1,2010-09-27
JF742581.1,2010-09-27
JF742582.1,2010-09-28
JF742583.1,2010-09-28
JF742584.1,2010-09-28
JF742585.1,2010-09-28
JF742586.1,2010-09-27
JF742587.1,2010-09-27
JF742588.1,2010-09-27
JF742589.1,2010-09-27
JF742590.1,2010-09-27
JF742591.1,2010-09-27
JF742592.1,2010-09-27
JF742593.1,2010-09-30
JF742594.1,2010-09-14
JF742595.1,2010-09-28
GU983170.1,2003
GU983171.1,2003
GU983172.1,2003
GU983173.1,2003
GU983174.1,2003
GU983175.1,2003
GU983176.1,2003
GU983177.1,2003
GU983178.1,2003
GU983179.1,2003
GU983180.1,2003
GU983181.1,2003
GU983182.1,2003
GU983183.1,2003
GU983184.1,2003
GU983185.1,2003
GU983186.1,2003
GU983187.1,2003
GU983188.1,2003
GU983189.1,2003
GU983191.1,2004
GU983192.1,2004
GU983193.1,2004
GU983194.1,2004
GU983195.1,2004
GU983196.1,2004
GU983197.1,2004
GU983198.1,2005
GU983199.1,2005
GU983200.1,2005
GU983201.1,2005
GU983202.1,2005
GU983203.1,2005
GU983204.1,2009
GU983205.1,2009
GU983206.1,2009
HQ699666.1,2010-09
HQ699667.1,2010-09
HQ699668.1,2010-09
HQ699669.1,2010-09
GU477573.1,2007-10-03
GU477574.1,2007-10-03
GU477575.1,2007-10-05
GU477576.1,2007-10-01
GU477577.1,2007-10-03
GU477578.1,2007-10-04
GU477579.1,2007-10-03
GU477580.1,2007-10-03
GU477581.1,2007-10-03
GU477582.1,2007-10-05
GU477583.1,2007-10-05
GU477584.1,2007-10-03
GU906790.1,1997
GQ229398.1,2007
GQ229399.1,2007
FJ868371.1,2006-10-12
GQ429279.1,2007-09-28
GQ429280.1,2008-09-25
GQ429286.1,2008-09-25
GQ429287.1,2008-09-30
GQ429288.1,2008-09-30
GQ329725.1,2003
28AO,2024-02-01
26HB,2024-02-01
